"","State","Total_Pop_W_Disab","HTC_W_Disabilty","percentage"
"1","Alabama","775390",122044,15.7
"2","Alaska","83410",33076,39.7
"3","Arizona","854637",231180,27.1
"4","Arkansas","501757",108594,21.6
"5","California","4088523",1001862,24.5
"6","Colorado","565570",96126,17
"7","Connecticut","389368",97502,25
"8","Delaware","111783",14094,12.6
"9","District of Columbia","77368",21648,28
"10","Florida","2673685",346809,13
"11","Georgia","1237621",254779,20.6
"12","Hawaii","153544",52029,33.9
"13","Idaho","217575",4885,2.2
"14","Illinois","1388827",228511,16.5
"15","Indiana","899267",71396,7.9
"16","Iowa","356551",13111,3.7
"17","Kansas","361479",35078,9.7
"18","Kentucky","751563",82778,11
"19","Louisiana","680623",250631,36.8
"20","Maine","208646",8560,4.1
"21","Maryland","638104",74261,11.6
"22","Massachusetts","781740",218752,28
"23","Michigan","1401476",135236,9.6
"24","Minnesota","584974",17823,3
"25","Mississippi","476197",125635,26.4
"26","Missouri","865207",92684,10.7
"27","Montana","138205",6456,4.7
"28","Nebraska","213642",16492,7.7
"29","Nevada","370381",115230,31.1
"30","New Hampshire","165149",21103,12.8
"31","New Jersey","925580",216582,23.4
"32","New Mexico","308280",143081,46.4
"33","New York","2232221",779498,34.9
"34","North Carolina","1344677",104450,7.8
"35","North Dakota","78060",1883,2.4
"36","Ohio","1583200",230058,14.5
"37","Oklahoma","606072",235298,38.8
"38","Oregon","580941",62930,10.8
"39","Pennsylvania","1730190",231703,13.4
"40","Rhode Island","138199",36416,26.4
"41","South Carolina","706323",52716,7.5
"42","South Dakota","101568",2718,2.7
"43","Tennessee","1001684",116044,11.6
"44","Texas","3120572",778095,24.9
"45","Utah","285608",26027,9.1
"46","Vermont","88112",8284,9.4
"47","Virginia","936175",90594,9.7
"48","Washington","906836",99490,11
"49","West Virginia","356167",107293,30.1
"50","Wisconsin","675224",54588,8.1
"51","Wyoming","74131",2102,2.8
